year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,aggravated_assault,arson,burglary,larceny_theft,motor_vehicle_theft,murder,robbery,sexual_assault,aggravated_assault_rate,arson_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate,murder_rate,robbery_rate,sexual_assault_rate
1982,31,61.0,Greene,7,Central,Mostly Rural,70.8,16519,8.0,1.0,82.0,204.0,4.0,0.0,2.0,0.0,48.4,6.1,496.4,1234.9,24.2,0.0,12.1,0.0
1982,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,30677,15.0,8.0,201.0,530.0,49.0,0.0,8.0,1.0,48.9,26.1,655.2,1727.7,159.7,0.0,26.1,3.3
1982,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,9271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,34,67.0,Hancock,9,Central,Mostly Rural,71.0,23781,6.0,5.0,123.0,273.0,13.0,0.0,4.0,0.0,25.2,21.0,517.2,1148.0,54.7,0.0,16.8,0.0
1982,35,69.0,Hardin,2,Southern,Completely Rural,100.0,5388,2.0,1.0,12.0,58.0,1.0,0.0,0.0,5.0,37.1,18.6,222.7,1076.5,18.6,0.0,0.0,92.8
1982,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8976,2.0,0.0,22.0,126.0,7.0,0.0,0.0,0.0,22.3,0.0,245.1,1403.7,78.0,0.0,0.0,0.0
1982,37,73.0,Henry,14,Central,Mostly Rural,50.3,56769,12.0,12.0,266.0,988.0,27.0,1.0,9.0,4.0,21.1,21.1,468.6,1740.4,47.6,1.8,15.9,7.0
1982,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,33081,13.0,2.0,142.0,191.0,19.0,1.0,2.0,0.0,39.3,6.0,429.2,577.4,57.4,3.0,6.0,0.0
1982,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,62399,112.0,26.0,703.0,2887.0,105.0,5.0,53.0,26.0,179.5,41.7,1126.6,4626.7,168.3,8.0,84.9,41.7
1982,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,11491,4.0,0.0,24.0,141.0,5.0,0.0,0.0,0.0,34.8,0.0,208.9,1227.0,43.5,0.0,0.0,0.0
1982,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,38004,45.0,6.0,559.0,1356.0,82.0,1.0,15.0,5.0,118.4,15.8,1470.9,3568.0,215.8,2.6,39.5,13.2
1982,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,20611,8.0,3.0,109.0,353.0,18.0,1.0,0.0,1.0,38.8,14.6,528.8,1712.7,87.3,4.9,0.0,4.9
1982,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,23469,19.0,9.0,154.0,191.0,20.0,0.0,0.0,1.0,81.0,38.3,656.2,813.8,85.2,0.0,0.0,4.3
1982,44,87.0,Johnson,1,Southern,Completely Rural,100.0,9964,7.0,0.0,3.0,10.0,2.0,0.0,2.0,0.0,70.3,0.0,30.1,100.4,20.1,0.0,20.1,0.0
1982,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,278859,686.0,102.0,5096.0,9520.0,517.0,15.0,333.0,59.0,246.0,36.6,1827.4,3413.9,185.4,5.4,119.4,21.2
